timestamp,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6
0,1.06E-01,2.13E-04,1.06E-01,2.13E-04,1.06E-01,2.13E-04
0.01,2.11E-02,8.74E-02,2.11E-02,8.74E-02,2.11E-02,8.74E-02
0.02,-9.83E-02,8.82E-02,-9.83E-02,8.82E-02,-9.83E-02,8.82E-02
0.03,1.42E-01,9.08E-02,1.42E-01,9.08E-02,1.42E-01,9.08E-02
0.04,1.48E-01,7.21E-02,1.48E-01,7.21E-02,1.48E-01,7.21E-02
0.05,6.46E-03,7.39E-02,6.46E-03,7.39E-02,6.46E-03,7.39E-02
0.06,-9.16E-02,5.37E-02,-9.16E-02,5.37E-02,-9.16E-02,5.37E-02
0.07,3.47E-03,-4.21E-02,3.47E-03,-4.21E-02,3.47E-03,-4.21E-02
0.08,6.75E-02,1.89E-01,6.75E-02,1.89E-01,6.75E-02,1.89E-01
0.09,1.12E-01,1.85E-02,1.12E-01,1.85E-02,1.12E-01,1.85E-02
0.1,1.86E-01,1.44E-01,1.86E-01,1.44E-01,1.86E-01,1.44E-01
0.11,1.36E-02,3.91E-02,1.36E-02,3.91E-02,1.36E-02,3.91E-02
0.12,-8.30E-02,-1.66E-03,-8.30E-02,-1.66E-03,-8.30E-02,-1.66E-03
0.13,6.18E-02,1.56E-01,6.18E-02,1.56E-01,6.18E-02,1.56E-01
0.14,4.73E-04,1.74E-02,4.73E-04,1.74E-02,4.73E-04,1.74E-02
0.15,-6.91E-02,3.46E-02,-6.91E-02,3.46E-02,-6.91E-02,3.46E-02
0.16,2.48E-02,1.36E-01,2.48E-02,1.36E-01,2.48E-02,1.36E-01
0.17,2.09E-01,7.24E-02,2.09E-01,7.24E-02,2.09E-01,7.24E-02
0.18,1.47E-01,4.36E-02,1.47E-01,4.36E-02,1.47E-01,4.36E-02
0.19,8.58E-02,3.88E-02,8.58E-02,3.88E-02,8.58E-02,3.88E-02
0.2,6.09E-03,2.12E-02,6.09E-03,2.12E-02,6.09E-03,2.12E-02
0.21,-1.47E-01,1.16E-01,-1.47E-01,1.16E-01,-1.47E-01,1.16E-01
0.22,-5.34E-02,9.34E-02,-5.34E-02,9.34E-02,-5.34E-02,9.34E-02
0.23,1.62E-01,4.32E-02,1.62E-01,4.32E-02,1.62E-01,4.32E-02
0.24,4.84E-02,8.40E-02,4.84E-02,8.40E-02,4.84E-02,8.40E-02
0.25,5.02E-02,1.01E-01,5.02E-02,1.01E-01,5.02E-02,1.01E-01
0.26,8.69E-02,2.42E-02,8.69E-02,2.42E-02,8.69E-02,2.42E-02
0.27,9.66E-02,9.11E-02,9.66E-02,9.11E-02,9.66E-02,9.11E-02
0.28,6.26E-02,5.45E-02,6.26E-02,5.45E-02,6.26E-02,5.45E-02
0.29,-4.56E-02,4.70E-03,-4.56E-02,4.70E-03,-4.56E-02,4.70E-03
0.3,-4.29E-02,9.08E-02,-4.29E-02,9.08E-02,-4.29E-02,9.08E-02
0.31,-3.81E-02,8.78E-02,-3.81E-02,8.78E-02,-3.81E-02,8.78E-02
0.32,4.76E-02,1.03E-01,4.76E-02,1.03E-01,4.76E-02,1.03E-01
0.33,1.68E-01,4.06E-02,1.68E-01,4.06E-02,1.68E-01,4.06E-02
0.34,1.64E-01,8.29E-02,1.64E-01,8.29E-02,1.64E-01,8.29E-02
0.35,4.96E-03,2.08E-03,4.96E-03,2.08E-03,4.96E-03,2.08E-03
0.36,7.96E-03,7.21E-02,7.96E-03,7.21E-02,7.96E-03,7.21E-02
0.37,5.29E-02,7.77E-02,5.29E-02,7.77E-02,5.29E-02,7.77E-02
0.38,-3.02E-02,8.25E-02,-3.02E-02,8.25E-02,-3.02E-02,8.25E-02
0.39,8.47E-04,9.30E-02,8.47E-04,9.30E-02,8.47E-04,9.30E-02
0.4,2.74E-02,3.50E-02,2.74E-02,3.50E-02,2.74E-02,3.50E-02
0.41,-5.51E-03,9.83E-02,-5.51E-03,9.83E-02,-5.51E-03,9.83E-02
0.42,1.10E-02,1.10E-01,1.10E-02,1.10E-01,1.10E-02,1.10E-01
0.43,2.07E-01,4.10E-02,2.07E-01,4.10E-02,2.07E-01,4.10E-02
0.44,1.95E-01,1.93E-02,1.95E-01,1.93E-02,1.95E-01,1.93E-02
0.45,8.33E-03,3.09E-02,8.33E-03,3.09E-02,8.33E-03,3.09E-02
0.46,-7.03E-02,4.32E-02,-7.03E-02,4.32E-02,-7.03E-02,4.32E-02
0.47,-2.76E-02,1.01E-01,-2.76E-02,1.01E-01,-2.76E-02,1.01E-01
0.48,-2.90E-03,9.34E-02,-2.90E-03,9.34E-02,-2.90E-03,9.34E-02
0.49,-9.63E-03,1.10E-01,-9.63E-03,1.10E-01,-9.63E-03,1.10E-01
0.5,7.46E-02,1.16E-01,7.46E-02,1.16E-01,7.46E-02,1.16E-01
0.51,1.57E-01,3.50E-02,1.57E-01,3.50E-02,1.57E-01,3.50E-02
0.52,1.38E-01,1.74E-02,1.38E-01,1.74E-02,1.38E-01,1.74E-02
0.53,8.39E-02,2.38E-02,8.39E-02,2.38E-02,8.39E-02,2.38E-02
0.54,-8.45E-02,6.01E-02,-8.45E-02,6.01E-02,-8.45E-02,6.01E-02
0.55,-1.17E-01,7.21E-02,-1.17E-01,7.21E-02,-1.17E-01,7.21E-02
0.56,2.11E-02,1.12E-01,2.11E-02,1.12E-01,2.11E-02,1.12E-01
0.57,1.35E-01,1.17E-01,1.35E-01,1.17E-01,1.35E-01,1.17E-01
0.58,7.31E-02,2.90E-02,7.31E-02,2.90E-02,7.31E-02,2.90E-02
0.59,5.47E-02,3.80E-02,5.47E-02,3.80E-02,5.47E-02,3.80E-02
0.6,1.10E-01,7.13E-02,1.10E-01,7.13E-02,1.10E-01,7.13E-02
0.61,3.60E-02,2.30E-02,3.60E-02,2.30E-02,3.60E-02,2.30E-02
0.62,-3.32E-02,1.86E-01,-3.32E-02,1.86E-01,-3.32E-02,1.86E-01
0.63,7.16E-02,-6.15E-02,7.16E-02,-6.15E-02,7.16E-02,-6.15E-02
0.64,8.47E-02,8.82E-02,8.47E-02,8.82E-02,8.47E-02,8.82E-02
0.65,-6.13E-02,6.76E-02,-6.13E-02,6.76E-02,-6.13E-02,6.76E-02
0.66,-3.02E-02,1.33E-01,-3.02E-02,1.33E-01,-3.02E-02,1.33E-01
0.67,6.63E-02,9.83E-02,6.63E-02,9.83E-02,6.63E-02,9.83E-02
0.68,6.18E-02,6.98E-02,6.18E-02,6.98E-02,6.18E-02,6.98E-02
0.69,8.69E-02,6.50E-02,8.69E-02,6.50E-02,8.69E-02,6.50E-02
0.7,1.90E-01,-9.14E-03,1.90E-01,-9.14E-03,1.90E-01,-9.14E-03
0.71,2.70E-02,1.59E-02,2.70E-02,1.59E-02,2.70E-02,1.59E-02
0.72,-7.40E-02,7.54E-02,-7.40E-02,7.54E-02,-7.40E-02,7.54E-02
0.73,5.36E-02,5.71E-02,5.36E-02,5.71E-02,5.36E-02,5.71E-02
0.74,9.83E-03,9.11E-02,9.83E-03,9.11E-02,9.83E-03,9.11E-02
0.75,-9.23E-02,1.20E-01,-9.23E-02,1.20E-01,-9.23E-02,1.20E-01
0.76,4.39E-02,1.16E-01,4.39E-02,1.16E-01,4.39E-02,1.16E-01
0.77,1.16E-01,1.01E-01,1.16E-01,1.01E-01,1.16E-01,1.01E-01
0.78,2.16E-01,-7.65E-03,2.16E-01,-7.65E-03,2.16E-01,-7.65E-03
0.79,1.56E-01,-6.52E-03,1.56E-01,-6.52E-03,1.56E-01,-6.52E-03
0.8,-1.45E-01,8.67E-02,-1.45E-01,8.67E-02,-1.45E-01,8.67E-02
0.81,-8.63E-02,7.84E-02,-8.63E-02,7.84E-02,-8.63E-02,7.84E-02
0.82,7.79E-02,3.13E-02,7.79E-02,3.13E-02,7.79E-02,3.13E-02
0.83,4.91E-02,1.45E-01,4.91E-02,1.45E-01,4.91E-02,1.45E-01
0.84,-4.44E-02,5.97E-02,-4.44E-02,5.97E-02,-4.44E-02,5.97E-02
0.85,1.05E-01,2.98E-02,1.05E-01,2.98E-02,1.05E-01,2.98E-02
0.86,1.45E-01,5.67E-02,1.45E-01,5.67E-02,1.45E-01,5.67E-02
0.87,1.12E-01,8.78E-02,1.12E-01,8.78E-02,1.12E-01,8.78E-02
0.88,1.84E-02,1.29E-01,1.84E-02,1.29E-01,1.84E-02,1.29E-01
0.89,-1.28E-01,1.74E-02,-1.28E-01,1.74E-02,-1.28E-01,1.74E-02
0.9,2.89E-02,1.07E-02,2.89E-02,1.07E-02,2.89E-02,1.07E-02
0.91,1.17E-01,5.67E-02,1.17E-01,5.67E-02,1.17E-01,5.67E-02
0.92,9.83E-03,1.28E-01,9.83E-03,1.28E-01,9.83E-03,1.28E-01
0.93,8.65E-02,1.16E-01,8.65E-02,1.16E-01,8.65E-02,1.16E-01
0.94,1.17E-01,-6.52E-03,1.17E-01,-6.52E-03,1.17E-01,-6.52E-03
0.95,2.93E-02,5.04E-02,2.93E-02,5.04E-02,2.93E-02,5.04E-02
0.96,-6.58E-02,1.17E-01,-6.58E-02,1.17E-01,-6.58E-02,1.17E-01
0.97,-2.57E-02,1.04E-01,-2.57E-02,1.04E-01,-2.57E-02,1.04E-01
0.98,7.72E-02,2.72E-02,7.72E-02,2.72E-02,7.72E-02,2.72E-02
0.99,8.54E-02,1.78E-02,8.54E-02,1.78E-02,8.54E-02,1.78E-02
1,1.16E-01,7.81E-02,1.16E-01,7.81E-02,1.16E-01,7.81E-02
1.01,4.91E-02,7.73E-02,4.91E-02,7.73E-02,4.91E-02,7.73E-02
1.02,-3.43E-02,7.47E-02,-3.43E-02,7.47E-02,-3.43E-02,7.47E-02
1.03,2.85E-02,3.43E-02,2.85E-02,3.43E-02,2.85E-02,3.43E-02
1.04,2.78E-02,1.02E-01,2.78E-02,1.02E-01,2.78E-02,1.02E-01
1.05,9.22E-02,1.32E-01,9.22E-02,1.32E-01,9.22E-02,1.32E-01
1.06,6.82E-02,1.29E-02,6.82E-02,1.29E-02,6.82E-02,1.29E-02
1.07,5.71E-03,3.31E-02,5.71E-03,3.31E-02,5.71E-03,3.31E-02
1.08,3.75E-02,5.26E-02,3.75E-02,5.26E-02,3.75E-02,5.26E-02
1.09,-4.03E-02,1.03E-01,-4.03E-02,1.03E-01,-4.03E-02,1.03E-01
1.1,-1.40E-03,1.06E-01,-1.40E-03,1.06E-01,-1.40E-03,1.06E-01
1.11,2.03E-01,1.07E-02,2.03E-01,1.07E-02,2.03E-01,1.07E-02
1.12,8.77E-02,-5.77E-03,8.77E-02,-5.77E-03,8.77E-02,-5.77E-03
1.13,-8.11E-02,1.73E-01,-8.11E-02,1.73E-01,-8.11E-02,1.73E-01
1.14,5.66E-02,3.31E-02,5.66E-02,3.31E-02,5.66E-02,3.31E-02
1.15,5.70E-02,8.03E-02,5.70E-02,8.03E-02,5.70E-02,8.03E-02
1.16,1.54E-02,6.98E-02,1.54E-02,6.98E-02,1.54E-02,6.98E-02
1.17,5.51E-02,-5.40E-03,5.51E-02,-5.40E-03,5.51E-02,-5.40E-03
1.18,5.02E-02,1.18E-01,5.02E-02,1.18E-01,5.02E-02,1.18E-01
1.19,-1.60E-02,6.98E-02,-1.60E-02,6.98E-02,-1.60E-02,6.98E-02
1.2,5.06E-02,1.53E-01,5.06E-02,1.53E-01,5.06E-02,1.53E-01
1.21,1.09E-01,6.12E-02,1.09E-01,6.12E-02,1.09E-01,6.12E-02
1.22,1.51E-02,-9.52E-03,1.51E-02,-9.52E-03,1.51E-02,-9.52E-03
1.23,5.32E-02,6.01E-02,5.32E-02,6.01E-02,5.32E-02,6.01E-02
1.24,8.47E-04,-4.24E-02,8.47E-04,-4.24E-02,8.47E-04,-4.24E-02
1.25,1.28E-01,9.38E-02,1.28E-01,9.38E-02,1.28E-01,9.38E-02
1.26,-5.00E-02,1.85E-01,-5.00E-02,1.85E-01,-5.00E-02,1.85E-01
1.27,-2.57E-02,7.24E-02,-2.57E-02,7.24E-02,-2.57E-02,7.24E-02
1.28,1.11E-01,8.97E-02,1.11E-01,8.97E-02,1.11E-01,8.97E-02
1.29,9.74E-02,-1.74E-02,9.74E-02,-1.74E-02,9.74E-02,-1.74E-02
1.3,4.46E-02,2.27E-02,4.46E-02,2.27E-02,4.46E-02,2.27E-02
1.31,-1.08E-02,1.48E-01,-1.08E-02,1.48E-01,-1.08E-02,1.48E-01
1.32,5.47E-02,5.48E-02,5.47E-02,5.48E-02,5.47E-02,5.48E-02
1.33,-1.77E-03,4.03E-02,-1.77E-03,4.03E-02,-1.77E-03,4.03E-02
1.34,1.73E-02,9.15E-02,1.73E-02,9.15E-02,1.73E-02,9.15E-02
1.35,1.25E-01,9.71E-02,1.25E-01,9.71E-02,1.25E-01,9.71E-02
1.36,5.89E-02,3.43E-02,5.89E-02,3.43E-02,5.89E-02,3.43E-02
1.37,1.28E-01,7.92E-02,1.28E-01,7.92E-02,1.28E-01,7.92E-02
1.38,-4.78E-02,3.24E-02,-4.78E-02,3.24E-02,-4.78E-02,3.24E-02
1.39,-1.31E-01,6.98E-02,-1.31E-01,6.98E-02,-1.31E-01,6.98E-02
1.4,6.83E-03,1.02E-01,6.83E-03,1.02E-01,6.83E-03,1.02E-01
1.41,1.69E-01,5.37E-02,1.69E-01,5.37E-02,1.69E-01,5.37E-02
1.42,1.75E-01,9.57E-03,1.75E-01,9.57E-03,1.75E-01,9.57E-03
1.43,1.32E-01,9.64E-02,1.32E-01,9.64E-02,1.32E-01,9.64E-02
1.44,-7.89E-02,5.30E-02,-7.89E-02,5.30E-02,-7.89E-02,5.30E-02
1.45,-1.03E-01,6.42E-02,-1.03E-01,6.42E-02,-1.03E-01,6.42E-02
1.46,-6.05E-02,1.44E-01,-6.05E-02,1.44E-01,-6.05E-02,1.44E-01
1.47,4.84E-02,1.01E-01,4.84E-02,1.01E-01,4.84E-02,1.01E-01
1.48,2.49E-01,8.45E-03,2.49E-01,8.45E-03,2.49E-01,8.45E-03
1.49,1.29E-01,2.83E-03,1.29E-01,2.83E-03,1.29E-01,2.83E-03
1.5,-3.13E-02,6.50E-02,-3.13E-02,6.50E-02,-3.13E-02,6.50E-02
1.51,1.03E-01,8.40E-02,1.03E-01,8.40E-02,1.03E-01,8.40E-02
1.52,-9.08E-02,1.03E-01,-9.08E-02,1.03E-01,-9.08E-02,1.03E-01
1.53,-5.75E-02,5.93E-02,-5.75E-02,5.93E-02,-5.75E-02,5.93E-02
1.54,8.65E-02,2.98E-02,8.65E-02,2.98E-02,8.65E-02,2.98E-02
1.55,5.21E-02,6.98E-02,5.21E-02,6.98E-02,5.21E-02,6.98E-02
1.56,1.51E-01,6.53E-02,1.51E-01,6.53E-02,1.51E-01,6.53E-02
1.57,2.03E-02,7.84E-02,2.03E-02,7.84E-02,2.03E-02,7.84E-02
1.58,-6.24E-02,1.25E-01,-6.24E-02,1.25E-01,-6.24E-02,1.25E-01
1.59,3.71E-02,9.45E-02,3.71E-02,9.45E-02,3.71E-02,9.45E-02
1.6,1.46E-01,-1.14E-02,1.46E-01,-1.14E-02,1.46E-01,-1.14E-02
1.61,1.17E-01,2.53E-02,1.17E-01,2.53E-02,1.17E-01,2.53E-02
1.62,-5.72E-02,4.96E-02,-5.72E-02,4.96E-02,-5.72E-02,4.96E-02
1.63,-6.99E-02,7.47E-02,-6.99E-02,7.47E-02,-6.99E-02,7.47E-02
1.64,8.35E-02,7.43E-02,8.35E-02,7.43E-02,8.35E-02,7.43E-02
1.65,9.07E-02,7.88E-02,9.07E-02,7.88E-02,9.07E-02,7.88E-02
1.66,-8.11E-02,2.21E-01,-8.11E-02,2.21E-01,-8.11E-02,2.21E-01
1.67,1.52E-01,6.20E-03,1.52E-01,6.20E-03,1.52E-01,6.20E-03
1.68,1.77E-01,-1.29E-02,1.77E-01,-1.29E-02,1.77E-01,-1.29E-02
1.69,5.66E-02,2.27E-02,5.66E-02,2.27E-02,5.66E-02,2.27E-02
1.7,-8.75E-02,5.00E-02,-8.75E-02,5.00E-02,-8.75E-02,5.00E-02
1.71,-9.05E-02,1.73E-01,-9.05E-02,1.73E-01,-9.05E-02,1.73E-01
1.72,9.74E-02,-3.16E-03,9.74E-02,-3.16E-03,9.74E-02,-3.16E-03
1.73,8.43E-02,5.07E-02,8.43E-02,5.07E-02,8.43E-02,5.07E-02
1.74,5.10E-02,1.14E-01,5.10E-02,1.14E-01,5.10E-02,1.14E-01
1.75,-5.83E-02,1.28E-01,-5.83E-02,1.28E-01,-5.83E-02,1.28E-01
1.76,6.52E-02,9.49E-02,6.52E-02,9.49E-02,6.52E-02,9.49E-02
1.77,1.55E-01,5.08E-03,1.55E-01,5.08E-03,1.55E-01,5.08E-03
1.78,1.79E-01,-4.10E-02,1.79E-01,-4.10E-02,1.79E-01,-4.10E-02
1.79,1.84E-02,1.09E-01,1.84E-02,1.09E-01,1.84E-02,1.09E-01
1.8,-1.25E-01,-2.71E-02,-1.25E-01,-2.71E-02,-1.25E-01,-2.71E-02
1.81,-2.91E-02,1.14E-01,-2.91E-02,1.14E-01,-2.91E-02,1.14E-01
1.82,-3.43E-02,2.10E-01,-3.43E-02,2.10E-01,-3.43E-02,2.10E-01
1.83,1.94E-01,1.20E-01,1.94E-01,1.20E-01,1.94E-01,1.20E-01
1.84,-1.26E-02,-3.08E-02,-1.26E-02,-3.08E-02,-1.26E-02,-3.08E-02
1.85,2.29E-02,3.46E-02,2.29E-02,3.46E-02,2.29E-02,3.46E-02
1.86,1.23E-01,8.25E-02,1.23E-01,8.25E-02,1.23E-01,8.25E-02
1.87,2.07E-01,5.78E-02,2.07E-01,5.78E-02,2.07E-01,5.78E-02
1.88,-9.26E-03,2.30E-02,-9.26E-03,2.30E-02,-9.26E-03,2.30E-02
1.89,-6.95E-02,1.27E-01,-6.95E-02,1.27E-01,-6.95E-02,1.27E-01
1.9,-5.15E-02,-3.35E-02,-5.15E-02,-3.35E-02,-5.15E-02,-3.35E-02
1.91,2.63E-02,4.85E-02,2.63E-02,4.85E-02,2.63E-02,4.85E-02
1.92,-1.00E-02,1.70E-01,-1.00E-02,1.70E-01,-1.00E-02,1.70E-01
1.93,1.19E-01,9.68E-02,1.19E-01,9.68E-02,1.19E-01,9.68E-02
1.94,1.35E-01,5.52E-02,1.35E-01,5.52E-02,1.35E-01,5.52E-02
1.95,3.68E-02,4.66E-02,3.68E-02,4.66E-02,3.68E-02,4.66E-02
1.96,1.03E-01,4.77E-02,1.03E-01,4.77E-02,1.03E-01,4.77E-02
1.97,1.47E-02,7.36E-02,1.47E-02,7.36E-02,1.47E-02,7.36E-02
1.98,-7.62E-02,6.79E-02,-7.62E-02,6.79E-02,-7.62E-02,6.79E-02
1.99,-2.95E-02,4.36E-02,-2.95E-02,4.36E-02,-2.95E-02,4.36E-02
2,1.46E-01,2.68E-02,1.46E-01,2.68E-02,1.46E-01,2.68E-02
2.01,6.93E-02,4.14E-02,6.93E-02,4.14E-02,6.93E-02,4.14E-02
2.02,-7.76E-03,1.41E-01,-7.76E-03,1.41E-01,-7.76E-03,1.41E-01
2.03,8.92E-02,1.36E-01,8.92E-02,1.36E-01,8.92E-02,1.36E-01
2.04,8.32E-02,7.73E-02,8.32E-02,7.73E-02,8.32E-02,7.73E-02
2.05,-9.16E-02,3.31E-02,-9.16E-02,3.31E-02,-9.16E-02,3.31E-02
2.06,-5.08E-02,9.61E-04,-5.08E-02,9.61E-04,-5.08E-02,9.61E-04
2.07,2.79E-01,2.30E-02,2.79E-01,2.30E-02,2.79E-01,2.30E-02
2.08,8.39E-02,9.23E-02,8.39E-02,9.23E-02,8.39E-02,9.23E-02
2.09,-4.63E-02,7.77E-02,-4.63E-02,7.77E-02,-4.63E-02,7.77E-02
2.1,3.09E-03,3.35E-02,3.09E-03,3.35E-02,3.09E-03,3.35E-02
2.11,-8.34E-02,1.44E-01,-8.34E-02,1.44E-01,-8.34E-02,1.44E-01
2.12,-2.15E-03,1.26E-01,-2.15E-03,1.26E-01,-2.15E-03,1.26E-01
2.13,2.16E-01,-5.03E-03,2.16E-01,-5.03E-03,2.16E-01,-5.03E-03
2.14,1.59E-01,5.11E-02,1.59E-01,5.11E-02,1.59E-01,5.11E-02
2.15,-5.94E-02,6.53E-02,-5.94E-02,6.53E-02,-5.94E-02,6.53E-02
2.16,-4.93E-02,2.12E-02,-4.93E-02,2.12E-02,-4.93E-02,2.12E-02
2.17,9.14E-02,7.09E-02,9.14E-02,7.09E-02,9.14E-02,7.09E-02
2.18,3.83E-02,1.47E-01,3.83E-02,1.47E-01,3.83E-02,1.47E-01
2.19,1.49E-01,1.04E-01,1.49E-01,1.04E-01,1.49E-01,1.04E-01
2.2,6.09E-03,-1.27E-01,6.09E-03,-1.27E-01,6.09E-03,-1.27E-01
2.21,-1.17E-01,1.63E-01,-1.17E-01,1.63E-01,-1.17E-01,1.63E-01
2.22,-6.80E-02,5.30E-02,-6.80E-02,5.30E-02,-6.80E-02,5.30E-02
2.23,1.47E-01,9.75E-02,1.47E-01,9.75E-02,1.47E-01,9.75E-02
2.24,1.95E-01,1.37E-01,1.95E-01,1.37E-01,1.95E-01,1.37E-01
2.25,3.47E-03,5.93E-02,3.47E-03,5.93E-02,3.47E-03,5.93E-02
2.26,9.03E-02,-2.78E-03,9.03E-02,-2.78E-03,9.03E-02,-2.78E-03
2.27,8.50E-02,4.74E-02,8.50E-02,4.74E-02,8.50E-02,4.74E-02
2.28,-6.09E-02,7.99E-02,-6.09E-02,7.99E-02,-6.09E-02,7.99E-02
2.29,-1.35E-01,5.07E-02,-1.35E-01,5.07E-02,-1.35E-01,5.07E-02
2.3,-1.40E-03,2.15E-02,-1.40E-03,2.15E-02,-1.40E-03,2.15E-02
2.31,3.39E-01,5.37E-02,3.39E-01,5.37E-02,3.39E-01,5.37E-02
2.32,5.36E-02,1.24E-01,5.36E-02,1.24E-01,5.36E-02,1.24E-01
2.33,-1.71E-02,1.22E-01,-1.71E-02,1.22E-01,-1.71E-02,1.22E-01
2.34,-8.63E-02,1.63E-01,-8.63E-02,1.63E-01,-8.63E-02,1.63E-01
2.35,-6.20E-02,2.15E-02,-6.20E-02,2.15E-02,-6.20E-02,2.15E-02
2.36,2.37E-02,-3.20E-02,2.37E-02,-3.20E-02,2.37E-02,-3.20E-02
2.37,2.21E-01,9.19E-03,2.21E-01,9.19E-03,2.21E-01,9.19E-03
2.38,2.76E-01,3.28E-02,2.76E-01,3.28E-02,2.76E-01,3.28E-02
2.39,2.33E-02,9.60E-02,2.33E-02,9.60E-02,2.33E-02,9.60E-02
2.4,-1.83E-01,1.04E-01,-1.83E-01,1.04E-01,-1.83E-01,1.04E-01
2.41,-5.79E-02,9.83E-02,-5.79E-02,9.83E-02,-5.79E-02,9.83E-02
2.42,-1.17E-01,1.17E-01,-1.17E-01,1.17E-01,-1.17E-01,1.17E-01
2.43,2.04E-01,8.18E-02,2.04E-01,8.18E-02,2.04E-01,8.18E-02
2.44,2.09E-01,-4.51E-02,2.09E-01,-4.51E-02,2.09E-01,-4.51E-02
2.45,8.47E-02,9.34E-02,8.47E-02,9.34E-02,8.47E-02,9.34E-02
2.46,1.81E-02,1.03E-01,1.81E-02,1.03E-01,1.81E-02,1.03E-01
2.47,-2.95E-02,3.50E-02,-2.95E-02,3.50E-02,-2.95E-02,3.50E-02
2.48,-2.57E-02,8.22E-02,-2.57E-02,8.22E-02,-2.57E-02,8.22E-02
2.49,-9.72E-02,5.48E-02,-9.72E-02,5.48E-02,-9.72E-02,5.48E-02
2.5,9.18E-02,2.46E-03,9.18E-02,2.46E-03,9.18E-02,2.46E-03
2.51,3.79E-01,3.31E-02,3.79E-01,3.31E-02,3.79E-01,3.31E-02
2.52,-2.19E-01,1.32E-01,-2.19E-01,1.32E-01,-2.19E-01,1.32E-01
2.53,-7.85E-02,1.31E-01,-7.85E-02,1.31E-01,-7.85E-02,1.31E-01
2.54,2.49E-01,8.18E-02,2.49E-01,8.18E-02,2.49E-01,8.18E-02
2.55,7.23E-02,7.77E-02,7.23E-02,7.77E-02,7.23E-02,7.77E-02
2.56,4.84E-02,4.33E-03,4.84E-02,4.33E-03,4.84E-02,4.33E-03
2.57,-9.27E-02,-1.25E-02,-9.27E-02,-1.25E-02,-9.27E-02,-1.25E-02
2.58,-3.73E-02,6.12E-02,-3.73E-02,6.12E-02,-3.73E-02,6.12E-02
2.59,5.32E-02,8.40E-02,5.32E-02,8.40E-02,5.32E-02,8.40E-02
