timestamp,S1,S2
0.00000,1.06E-01,2.13E-04
0.01000,2.11E-02,8.74E-02
0.02000,-9.83E-02,8.82E-02
0.03000,1.42E-01,9.08E-02
0.04000,1.48E-01,7.21E-02
0.05000,6.46E-03,7.39E-02
0.06000,-9.16E-02,5.37E-02
0.07000,3.47E-03,-4.21E-02
0.08000,6.75E-02,1.89E-01
0.09000,1.12E-01,1.85E-02
0.10000,1.86E-01,1.44E-01
0.11000,1.36E-02,3.91E-02
0.12000,-8.30E-02,-1.66E-03
0.13000,6.18E-02,1.56E-01
0.14000,4.73E-04,1.74E-02
0.15000,-6.91E-02,3.46E-02
0.16000,2.48E-02,1.36E-01
0.17000,2.09E-01,7.24E-02
0.18000,1.47E-01,4.36E-02
0.19000,8.58E-02,3.88E-02
0.20000,6.09E-03,2.12E-02
0.21000,-1.47E-01,1.16E-01
0.22000,-5.34E-02,9.34E-02
0.23000,1.62E-01,4.32E-02
0.24000,4.84E-02,8.40E-02
0.25000,5.02E-02,1.01E-01
0.26000,8.69E-02,2.42E-02
0.27000,9.66E-02,9.11E-02
0.28000,6.26E-02,5.45E-02
0.29000,-4.56E-02,4.70E-03
0.30000,-4.29E-02,9.08E-02
0.31000,-3.81E-02,8.78E-02
0.32000,4.76E-02,1.03E-01
0.33000,1.68E-01,4.06E-02
0.34000,1.64E-01,8.29E-02
0.35000,4.96E-03,2.08E-03
0.36000,7.96E-03,7.21E-02
0.37000,5.29E-02,7.77E-02
0.38000,-3.02E-02,8.25E-02
0.39000,8.47E-04,9.30E-02
0.40000,2.74E-02,3.50E-02
0.41000,-5.51E-03,9.83E-02
0.42000,1.10E-02,1.10E-01
0.43000,2.07E-01,4.10E-02
0.44000,1.95E-01,1.93E-02
0.45000,8.33E-03,3.09E-02
0.46000,-7.03E-02,4.32E-02
0.47000,-2.76E-02,1.01E-01
0.48000,-2.90E-03,9.34E-02
0.49000,-9.63E-03,1.10E-01
0.50000,7.46E-02,1.16E-01
0.51000,1.57E-01,3.50E-02
0.52000,1.38E-01,1.74E-02
0.53000,8.39E-02,2.38E-02
0.54000,-8.45E-02,6.01E-02
0.55000,-1.17E-01,7.21E-02
0.56000,2.11E-02,1.12E-01
0.57000,1.35E-01,1.17E-01
0.58000,7.31E-02,2.90E-02
0.59000,5.47E-02,3.80E-02
0.60000,1.10E-01,7.13E-02
0.61000,3.60E-02,2.30E-02
0.62000,-3.32E-02,1.86E-01
0.63000,7.16E-02,-6.15E-02
0.64000,8.47E-02,8.82E-02
0.65000,-6.13E-02,6.76E-02
0.66000,-3.02E-02,1.33E-01
0.67000,6.63E-02,9.83E-02
0.68000,6.18E-02,6.98E-02
0.69000,8.69E-02,6.50E-02
0.70000,1.90E-01,-9.14E-03
0.71000,2.70E-02,1.59E-02
0.72000,-7.40E-02,7.54E-02
0.73000,5.36E-02,5.71E-02
0.74000,9.83E-03,9.11E-02
0.75000,-9.23E-02,1.20E-01
0.76000,4.39E-02,1.16E-01
0.77000,1.16E-01,1.01E-01
0.78000,2.16E-01,-7.65E-03
0.79000,1.56E-01,-6.52E-03
0.80000,-1.45E-01,8.67E-02
0.81000,-8.63E-02,7.84E-02
0.82000,7.79E-02,3.13E-02
0.83000,4.91E-02,1.45E-01
0.84000,-4.44E-02,5.97E-02
0.85000,1.05E-01,2.98E-02
0.86000,1.45E-01,5.67E-02
0.87000,1.12E-01,8.78E-02
0.88000,1.84E-02,1.29E-01
0.89000,-1.28E-01,1.74E-02
0.90000,2.89E-02,1.07E-02
0.91000,1.17E-01,5.67E-02
0.92000,9.83E-03,1.28E-01
0.93000,8.65E-02,1.16E-01
0.94000,1.17E-01,-6.52E-03
0.95000,2.93E-02,5.04E-02
0.96000,-6.58E-02,1.17E-01
0.97000,-2.57E-02,1.04E-01
0.98000,7.72E-02,2.72E-02
0.99000,8.54E-02,1.78E-02
1.00000,1.16E-01,7.81E-02
1.01000,4.91E-02,7.73E-02
1.02000,-3.43E-02,7.47E-02
1.03000,2.85E-02,3.43E-02
1.04000,2.78E-02,1.02E-01
1.05000,9.22E-02,1.32E-01
1.06000,6.82E-02,1.29E-02
1.07000,5.71E-03,3.31E-02
1.08000,3.75E-02,5.26E-02
1.09000,-4.03E-02,1.03E-01
1.10000,-1.40E-03,1.06E-01
1.11000,2.03E-01,1.07E-02
1.12000,8.77E-02,-5.77E-03
1.13000,-8.11E-02,1.73E-01
1.14000,5.66E-02,3.31E-02
1.15000,5.70E-02,8.03E-02
1.16000,1.54E-02,6.98E-02
1.17000,5.51E-02,-5.40E-03
1.18000,5.02E-02,1.18E-01
1.19000,-1.60E-02,6.98E-02
1.20000,5.06E-02,1.53E-01
1.21000,1.09E-01,6.12E-02
1.22000,1.51E-02,-9.52E-03
1.23000,5.32E-02,6.01E-02
1.24000,8.47E-04,-4.24E-02
1.25000,1.28E-01,9.38E-02
1.26000,-5.00E-02,1.85E-01
1.27000,-2.57E-02,7.24E-02
1.28000,1.11E-01,8.97E-02
1.29000,9.74E-02,-1.74E-02
1.30000,4.46E-02,2.27E-02
1.31000,-1.08E-02,1.48E-01
1.32000,5.47E-02,5.48E-02
1.33000,-1.77E-03,4.03E-02
1.34000,1.73E-02,9.15E-02
1.35000,1.25E-01,9.71E-02
1.36000,5.89E-02,3.43E-02
1.37000,1.28E-01,7.92E-02
1.38000,-4.78E-02,3.24E-02
1.39000,-1.31E-01,6.98E-02
1.40000,6.83E-03,1.02E-01
1.41000,1.69E-01,5.37E-02
1.42000,1.75E-01,9.57E-03
1.43000,1.32E-01,9.64E-02
1.44000,-7.89E-02,5.30E-02
1.45000,-1.03E-01,6.42E-02
1.46000,-6.05E-02,1.44E-01
1.47000,4.84E-02,1.01E-01
1.48000,2.49E-01,8.45E-03
1.49000,1.29E-01,2.83E-03
1.50000,-3.13E-02,6.50E-02
1.51000,1.03E-01,8.40E-02
1.52000,-9.08E-02,1.03E-01
1.53000,-5.75E-02,5.93E-02
1.54000,8.65E-02,2.98E-02
1.55000,5.21E-02,6.98E-02
1.56000,1.51E-01,6.53E-02
1.57000,2.03E-02,7.84E-02
1.58000,-6.24E-02,1.25E-01
1.59000,3.71E-02,9.45E-02
1.60000,1.46E-01,-1.14E-02
1.61000,1.17E-01,2.53E-02
1.62000,-5.72E-02,4.96E-02
1.63000,-6.99E-02,7.47E-02
1.64000,8.35E-02,7.43E-02
1.65000,9.07E-02,7.88E-02
1.66000,-8.11E-02,2.21E-01
