INDEX,S1,S2,S3,S4
1,1,12,-4,7
2,6,7,0,14
3,-3,12,0,4
4,-10,-9,-4,13
5,-3,2,13,-7
6,14,12,-15,4
7,-14,-2,-15,1
8,15,4,-2,9
9,-10,-3,6,13
10,-11,15,9,-11
11,-10,-14,-7,-5
12,6,7,-4,11
13,10,8,14,-2
14,-6,-5,13,6
15,-11,12,9,-1
16,14,-3,6,-5
17,-4,14,-8,-9
18,3,11,15,3
19,-11,-3,-10,3
20,-12,-3,9,3
21,-12,13,15,-6
22,-11,0,-12,-6
23,-1,9,7,-8
24,-5,-13,-3,7
25,-14,-12,15,12
26,-5,11,-3,-7
27,-12,7,12,15
28,11,0,-14,-1
29,-2,-2,7,0
30,15,3,7,-8
31,-7,-2,-3,-3
32,4,8,7,15
33,-2,-5,3,7
34,12,-1,-2,-15
35,-13,3,5,6
36,6,13,-15,7
37,2,12,1,3
38,8,7,-10,7
39,4,15,10,7
40,1,11,-11,10
41,-12,-12,-10,5
42,-2,5,-2,-3
43,2,11,-11,-4
44,-4,5,-8,-13
45,-3,-1,2,-5
46,-7,-4,-8,9
47,-7,5,4,-10
48,10,4,-1,9
49,9,11,-7,10
50,-8,-6,10,8
51,2,-4,10,14
52,1,10,12,11
53,8,12,-13,-12
54,2,-13,-5,7
55,13,8,-11,4
56,5,14,-10,-12
57,-7,9,14,-5
58,-11,1,7,-9
59,-13,7,-12,-7
60,12,-8,10,15
61,0,-1,15,-2
62,9,13,4,-8
63,15,-15,-13,1
64,0,4,-5,-15
65,-4,3,15,-10
66,9,-13,-13,12
67,-4,11,0,-10
68,1,10,-8,15
69,-15,-3,10,2
70,10,2,12,10
71,-1,5,2,-1
72,13,-14,-6,-1
73,6,15,-10,-6
74,-14,-3,14,-12
75,-9,-8,8,14
76,-14,15,-12,0
77,-13,-13,1,12
78,10,3,-2,-11
79,15,2,2,12
80,4,-8,-1,4
81,-14,2,4,6
82,-5,6,-13,-13
83,5,-6,-8,8
84,-11,-14,-2,7
85,3,4,-7,9
86,15,-10,-5,5
87,-7,13,15,10
88,9,6,4,5
89,-8,2,-14,-3
90,-2,-14,11,6
91,3,14,-4,6
92,-2,11,-3,13
93,2,-8,-12,-2
94,12,-8,13,5
95,-14,10,10,-8
96,-2,-2,-9,-2
97,10,-13,-1,-6
98,4,-7,-15,-5
99,10,-7,1,-15
100,12,4,-2,-5
101,10,10,7,0
102,-4,6,-14,-5
103,15,-7,14,10
104,10,5,15,-2
105,11,9,10,-10
106,-5,11,9,9
107,12,-7,-10,-8
108,-14,-3,-14,6
109,11,4,-8,9
110,5,-6,-15,12
111,-12,15,7,13
112,12,1,-7,-9
113,-1,0,8,14
114,-9,-12,-6,-13
115,4,-14,-4,3
116,14,-12,-3,-3
117,4,2,-12,12
118,5,12,0,5
119,8,0,10,9
120,8,-8,10,8
121,14,6,9,-13
122,-11,11,-6,5
123,14,-12,-9,9
124,-10,-13,-9,6
125,-3,1,-4,7
126,2,-1,-5,-14
127,10,-13,-10,-15
128,6,-3,14,-5
129,-6,-2,6,-3
130,-4,0,8,7
131,14,-11,11,-13
132,1,-2,11,2
